,Unnamed: 0,Label,Precision,Recall,F_Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count,algorithm,label_algorithm
83,83,LI2,0.4285714285714285,0.375,0.3999999999999999,72,8,3,4,5,55,67,BR_KN,BR_KN_LI2
84,84,LI2,0.3333333333333333,0.1666666666666666,0.2222222222222222,72,6,1,2,5,59,67,BR_KN,BR_KN_LI2
86,86,LI2,0.3333333333333333,0.0833333333333333,0.1333333333333333,72,12,1,2,11,52,66,BR_KN,BR_KN_LI2
87,87,LI2,0.5,0.2857142857142857,0.3636363636363636,72,7,2,2,5,57,66,BR_KN,BR_KN_LI2
88,88,LI2,0.3333333333333333,0.4,0.3636363636363636,72,5,2,4,3,57,66,BR_KN,BR_KN_LI2
89,89,LI2,0.25,0.2,0.2222222222222222,72,5,1,3,4,58,66,BR_KN,BR_KN_LI2
96,96,I7,0.5,0.5,0.5,34,2,1,1,1,63,66,BR_KN,BR_KN_I7
125,125,CP5,0.5,0.5,0.5,35,2,1,1,1,64,67,BR_KN,BR_KN_CP5
153,153,I6,0.5,0.1666666666666666,0.25,40,6,1,1,5,60,67,BR_KN,BR_KN_I6
226,226,L1,1.0,0.5,0.6666666666666666,23,2,1,0,1,64,66,BR_KN,BR_KN_L1
227,227,L1,1.0,0.25,0.4,23,4,1,0,3,62,66,BR_KN,BR_KN_L1
0,0,LI1,0.7631578947368421,0.7435897435897436,0.7532467532467534,348,39,29,9,10,19,67,BR_RF,BR_RF_LI1
1,1,LI1,0.7142857142857143,0.8333333333333334,0.7692307692307692,348,30,25,10,5,27,67,BR_RF,BR_RF_LI1
2,2,LI1,0.717948717948718,0.8,0.7567567567567569,348,35,28,11,7,21,67,BR_RF,BR_RF_LI1
3,3,LI1,0.7428571428571429,0.7027027027027027,0.7222222222222223,348,37,26,9,11,21,67,BR_RF,BR_RF_LI1
4,4,LI1,0.7948717948717948,0.8611111111111112,0.8266666666666667,348,36,31,8,5,23,67,BR_RF,BR_RF_LI1
5,5,LI1,0.725,0.725,0.7250000000000001,348,40,29,11,11,16,67,BR_RF,BR_RF_LI1
6,6,LI1,0.6944444444444444,0.8928571428571429,0.78125,348,28,25,11,3,27,66,BR_RF,BR_RF_LI1
7,7,LI1,0.7567567567567568,0.7777777777777778,0.7671232876712328,348,36,28,9,8,21,66,BR_RF,BR_RF_LI1
8,8,LI1,0.7435897435897436,0.8529411764705882,0.7945205479452054,348,34,29,10,5,22,66,BR_RF,BR_RF_LI1
9,9,LI1,0.6744186046511628,0.8787878787878788,0.7631578947368421,348,33,29,14,4,19,66,BR_RF,BR_RF_LI1
10,10,CM,0.75,0.875,0.8076923076923077,295,24,21,7,3,36,67,BR_RF,BR_RF_CM
11,11,CM,0.9285714285714286,0.6190476190476191,0.742857142857143,295,42,26,2,16,23,67,BR_RF,BR_RF_CM
12,12,CM,0.8857142857142857,0.9393939393939394,0.9117647058823528,295,33,31,4,2,30,67,BR_RF,BR_RF_CM
13,13,CM,0.65625,0.9130434782608696,0.7636363636363634,295,23,21,11,2,33,67,BR_RF,BR_RF_CM
14,14,CM,0.75,0.9230769230769232,0.8275862068965517,295,26,24,8,2,33,67,BR_RF,BR_RF_CM
15,15,CM,0.6666666666666666,1.0,0.8,295,24,24,12,0,31,67,BR_RF,BR_RF_CM
16,16,CM,0.7647058823529411,0.8387096774193549,0.7999999999999999,295,31,26,8,5,27,66,BR_RF,BR_RF_CM
17,17,CM,0.7837837837837838,0.90625,0.8405797101449275,295,32,29,8,3,26,66,BR_RF,BR_RF_CM
18,18,CM,0.8064516129032258,0.925925925925926,0.8620689655172414,295,27,25,6,2,33,66,BR_RF,BR_RF_CM
19,19,CM,0.9032258064516128,0.8484848484848485,0.875,295,33,28,3,5,30,66,BR_RF,BR_RF_CM
20,20,I1,0.25,0.1111111111111111,0.1538461538461538,177,18,2,6,16,43,67,BR_RF,BR_RF_I1
21,21,I1,0.5,0.1666666666666666,0.25,177,18,3,3,15,46,67,BR_RF,BR_RF_I1
22,22,I1,0.25,0.125,0.1666666666666666,177,16,2,6,14,45,67,BR_RF,BR_RF_I1
23,23,I1,0.4545454545454545,0.238095238095238,0.3124999999999999,177,21,5,6,16,40,67,BR_RF,BR_RF_I1
24,24,I1,0.4615384615384615,0.3,0.3636363636363637,177,20,6,7,14,40,67,BR_RF,BR_RF_I1
25,25,I1,0.4615384615384615,0.375,0.4137931034482758,177,16,6,7,10,44,67,BR_RF,BR_RF_I1
26,26,I1,0.3,0.1875,0.2307692307692307,177,16,3,7,13,43,66,BR_RF,BR_RF_I1
